Sun 08 Sep 2024, 04:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
12.961, 21, Clicked: RED, x=695,  y=309,  DARK_RED: x=683,  y=313,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=40,  score=5, ORANGE: x=843,  y=188,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=521,  y=451,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
13.108, 22, Clicked: RED, x=697,  y=308,  DARK_RED: x=688,  y=298,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=41,  score=6, ORANGE: x=857,  y=168,  dx=0.0748086568569308,  dy=-0.11190138112140541,  clicks=0,  score=0, YELLOW: x=524,  y=463,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
13.223, 23, Clicked: RED, x=702,  y=295,  DARK_RED: x=691,  y=286,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=42,  score=7, ORANGE: x=867,  y=166,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=0,  score=0, YELLOW: x=526,  y=471,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
13.338, 24, Clicked: RED, x=702,  y=295,  DARK_RED: x=694,  y=274,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=43,  score=8, ORANGE: x=878,  y=182,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=0,  score=0, YELLOW: x=528,  y=480,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.148, 25, Clicked: ORANGE, x=926,  y=304,  RED: x=719,  y=191,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=951,  y=292,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=1,  score=0, YELLOW: x=542,  y=542,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.315, 25, Clicked: ORANGE, x=975,  y=339,  RED: x=724,  y=174,  dx=0.024701807930825763,  dy=-0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=966,  y=314,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=2,  score=0, YELLOW: x=545,  y=554,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.465, 25, Clicked: ORANGE, x=975,  y=345,  RED: x=728,  y=160,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=979,  y=334,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=3,  score=0, YELLOW: x=548,  y=565,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.583, 25, Clicked: ORANGE, x=984,  y=371,  RED: x=731,  y=171,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=990,  y=350,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=4,  score=0, YELLOW: x=550,  y=574,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.701, 25, Clicked: ORANGE, x=1011,  y=399,  RED: x=735,  y=183,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1000,  y=365,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=5,  score=0, YELLOW: x=552,  y=583,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
14.915, 25, Clicked: ORANGE, x=1027,  y=426,  RED: x=741,  y=205,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1020,  y=394,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=6,  score=0, YELLOW: x=556,  y=599,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
15.047, 25, Clicked: ORANGE, x=1044,  y=456,  RED: x=745,  y=219,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1032,  y=412,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=7,  score=0, YELLOW: x=558,  y=609,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
15.181, 25, Clicked: ORANGE, x=1044,  y=457,  RED: x=749,  y=232,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1044,  y=430,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=8,  score=0, YELLOW: x=560,  y=619,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
15.297, 25, Clicked: ORANGE, x=1070,  y=485,  RED: x=753,  y=244,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1054,  y=446,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=9,  score=0, YELLOW: x=562,  y=628,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
15.445, 25, Clicked: ORANGE, x=1091,  y=502,  RED: x=757,  y=259,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, DARK_ORANGE: x=1068,  y=466,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=10,  score=0, YELLOW: x=565,  y=639,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
15.595, 25, Clicked: None, x=1123, y=539,  RED: x=762,  y=274,  dx=0.024701807930825763,  dy=0.08444790111970776,  clicks=43,  score=8, ORANGE: x=1081,  y=486,  dx=0.0748086568569308,  dy=0.11190138112140541,  clicks=10,  score=0, YELLOW: x=568,  y=651,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
